电影名称,电影地址,电影评分,电影类型,上映日期,国家地区
头号玩家,https://movie.douban.com//subject//4920389//,8.7,"['动作', '科幻', '冒险']",['(2018)'],['美国']
忠犬八公物语,https://movie.douban.com//subject//1959195//,9.0,['剧情'],['(1987)'],['日本']
被嫌弃的松子的一生,https://movie.douban.com//subject//1787291//,8.9,"['剧情', '歌舞']",['(2006)'],['日本']
小鞋子,https://movie.douban.com//subject//1303021//,9.2,"['剧情', '家庭', '儿童']",['(1997)'],['伊朗']
狮子王,https://movie.douban.com//subject//1301753//,8.9,"['剧情', '动画', '歌舞', '家庭', '冒险']",['(1994)'],['美国']
让子弹飞,https://movie.douban.com//subject//3742360//,8.7,"['剧情', '喜剧', '动作', '西部']",['(2010)'],['中国大陆 / 香港']
飞越疯人院,https://movie.douban.com//subject//1292224//,9.0,['剧情'],['(1975)'],['美国']
美国往事,https://movie.douban.com//subject//1292262//,9.1,"['剧情', '犯罪']",['(1984)'],['意大利 / 美国']
搏击俱乐部,https://movie.douban.com//subject//1292000//,9.0,"['剧情', '动作', '悬疑', '惊悚']",['(1999)'],['美国 / 德国']
城市之光,https://movie.douban.com//subject//1293908//,9.2,"['剧情', '喜剧', '爱情']",['(1931)'],['美国']
黑客帝国,https://movie.douban.com//subject//1291843//,8.8,"['动作', '科幻']",['(1999)'],['美国 / 澳大利亚']
哈尔的移动城堡,https://movie.douban.com//subject//1308807//,8.9,"['动画', '奇幻', '冒险']",['(2004)'],['日本']
死亡诗社,https://movie.douban.com//subject//1291548//,9.0,['剧情'],['(1989)'],['美国']
美丽心灵,https://movie.douban.com//subject//1306029//,8.9,"['剧情', '传记']",['(2001)'],['美国']
看不见的客人,https://movie.douban.com//subject//26580232//,8.7,"['剧情', '悬疑', '惊悚', '犯罪']",['(2016)'],['西班牙']
血战钢锯岭,https://movie.douban.com//subject//26325320//,8.7,"['å‰§æƒ…', 'ä¼\xa0è®°', 'å�†å�²', 'æˆ˜äº‰']",['(2016)'],[]
东京物语,https://movie.douban.com//subject//1291568//,9.2,"['剧情', '家庭']",['(1953)'],['日本']
七武士,https://movie.douban.com//subject//1295399//,9.2,"['剧情', '动作', '冒险']",['(1954)'],['日本']
拯救大兵瑞恩,https://movie.douban.com//subject//1292849//,8.9,"['å‰§æƒ…', 'å�†å�²', 'æˆ˜äº‰']",['(1998)'],[]
指环王2：双塔奇兵,https://movie.douban.com//subject//1291572//,9.0,"['剧情', '动作', '奇幻', '冒险']",['(2002)'],['美国 / 新西兰']
V字仇杀队,https://movie.douban.com//subject//1309046//,8.8,"['剧情', '动作', '科幻', '惊悚']",['(2005)'],['美国 / 英国 / 德国']
小森林 夏秋篇,https://movie.douban.com//subject//25814705//,8.9,['å‰§æƒ…'],['(2014)'],[]
天使爱美丽,https://movie.douban.com//subject//1292215//,8.7,"['喜剧', '爱情']",['(2001)'],['法国 / 德国']
钢琴家,https://movie.douban.com//subject//1296736//,9.0,"['剧情', '音乐', '传记', '历史', '战争']",['(2002)'],['法国 / 德国 / 英国 / 波兰']
小森林 冬春篇,https://movie.douban.com//subject//25814707//,8.9,['剧情'],['(2015)'],['日本']
三块广告牌,https://movie.douban.com//subject//26611804//,8.7,"['剧情', '犯罪']",['(2017)'],['美国 / 英国']
指环王1：魔戒再现,https://movie.douban.com//subject//1291571//,8.9,"['剧情', '动作', '奇幻', '冒险']",['(2001)'],['新西兰 / 美国']
请以你的名字呼唤我,https://movie.douban.com//subject//26799731//,8.8,"['剧情', '爱情', '同性']",['(2017)'],['意大利 / 法国 / 巴西 / 美国']
情书,https://movie.douban.com//subject//1292220//,8.8,"['剧情', '爱情']",['(1995)'],['日本']
蝴蝶效应,https://movie.douban.com//subject//1292343//,8.7,"['剧情', '科幻', '悬疑', '惊悚']",['(2004)'],['美国 / 加拿大']
穿条纹睡衣的男孩,https://movie.douban.com//subject//3008247//,8.9,"['剧情', '战争']",['(2008)'],['英国 / 美国']
阳光姐妹淘,https://movie.douban.com//subject//4917726//,8.8,"['剧情', '喜剧']",['(2011)'],['韩国']
本杰明·巴顿奇事,https://movie.douban.com//subject//1485260//,8.8,"['剧情', '爱情', '奇幻']",['(2008)'],['美国']
恐怖直播,https://movie.douban.com//subject//21360417//,8.7,"['剧情', '悬疑', '犯罪']",['(2013)'],['韩国']
房间,https://movie.douban.com//subject//25724855//,8.8,"['剧情', '家庭']",['(2015)'],['爱尔兰 / 加拿大 / 英国 / 美国']
布达佩斯大饭店,https://movie.douban.com//subject//11525673//,8.8,"['å‰§æƒ…', 'å–œå‰§', 'å†’é™©']",['(2014)'],[]
七宗罪,https://movie.douban.com//subject//1292223//,8.7,"['剧情', '悬疑', '惊悚', '犯罪']",['(1995)'],['美国']
背靠背，脸对脸,https://movie.douban.com//subject//1307856//,9.4,['剧情'],['(1994)'],['中国大陆 / 香港']
西西里的美丽传说,https://movie.douban.com//subject//1292402//,8.8,"['剧情', '情色', '战争']",['(2000)'],['意大利 / 美国']
音乐之声,https://movie.douban.com//subject//1294408//,8.9,"['剧情', '爱情', '歌舞', '传记']",['(1965)'],['美国']
禁闭岛,https://movie.douban.com//subject//2334904//,8.7,"['剧情', '悬疑', '惊悚']",['(2010)'],['美国']
疯狂原始人,https://movie.douban.com//subject//1907966//,8.7,"['喜剧', '动画', '冒险']",['(2013)'],['美国']
低俗小说,https://movie.douban.com//subject//1291832//,8.8,"['剧情', '喜剧', '犯罪']",['(1994)'],['美国']
萤火之森,https://movie.douban.com//subject//5989818//,8.8,"['剧情', '爱情', '动画', '奇幻']",['(2011)'],['日本']
倩女幽魂,https://movie.douban.com//subject//1297447//,8.6,"['剧情', '爱情', '武侠', '古装']",['(1987)'],['香港']
沉默的羔羊,https://movie.douban.com//subject//1293544//,8.7,"['剧情', '惊悚', '犯罪']",['(1991)'],['美国']
玛丽和马克思,https://movie.douban.com//subject//3072124//,8.9,"['å‰§æƒ…', 'åŠ¨ç”»']",['(2009)'],[]
致命魔术,https://movie.douban.com//subject//1780330//,8.8,"['剧情', '悬疑', '惊悚']",['(2006)'],['美国 / 英国']
心灵捕手,https://movie.douban.com//subject//1292656//,8.8,['剧情'],['(1997)'],['美国']
勇敢的心,https://movie.douban.com//subject//1294639//,8.8,"['剧情', '动作', '传记', '历史', '战争']",['(1995)'],['美国']
哈利·波特与魔法石,https://movie.douban.com//subject//1295038//,8.8,"['奇幻', '冒险']",['(2001)'],['美国 / 英国']
菊次郎的夏天,https://movie.douban.com//subject//1293359//,8.7,"['剧情', '喜剧']",['(1999)'],['日本']
步履不停,https://movie.douban.com//subject//2222996//,8.8,"['剧情', '家庭']",['(2008)'],['日本']
一个叫欧维的男人决定去死,https://movie.douban.com//subject//26628357//,8.7,['å‰§æƒ…'],['(2015)'],[]
卢旺达饭店,https://movie.douban.com//subject//1291822//,8.9,"['剧情', '历史', '战争']",['(2004)'],['英国 / 南非 / 意大利 / 美国']
入殓师,https://movie.douban.com//subject//2149806//,8.8,['剧情'],['(2008)'],['日本']
剪刀手爱德华,https://movie.douban.com//subject//1292370//,8.7,"['剧情', '爱情', '奇幻']",['(1990)'],['美国']
猫鼠游戏,https://movie.douban.com//subject//1305487//,8.8,"['剧情', '传记', '犯罪']",['(2002)'],['美国 / 加拿大']
你的名字。,https://movie.douban.com//subject//26683290//,8.4,"['剧情', '爱情', '动画']",['(2016)'],['日本']
达拉斯买家俱乐部,https://movie.douban.com//subject//1793929//,8.7,"['剧情', '同性', '传记']",['(2013)'],['美国']
消失的爱人,https://movie.douban.com//subject//21318488//,8.7,"['剧情', '悬疑', '惊悚', '犯罪']",['(2014)'],['美国']
春光乍泄,https://movie.douban.com//subject//1292679//,8.8,"['剧情', '爱情', '同性']",['(1997)'],['香港 / 日本 / 韩国']
复仇者联盟3：无限战争,https://movie.douban.com//subject//24773958//,8.2,"['动作', '科幻', '奇幻', '冒险']",['(2018)'],['美国']
阳光灿烂的日子,https://movie.douban.com//subject//1291875//,8.8,['剧情'],['(1994)'],['中国大陆 / 香港']
聚焦,https://movie.douban.com//subject//25954475//,8.8,"['剧情', '传记']",['(2015)'],['美国']
一一,https://movie.douban.com//subject//1292434//,8.9,"['剧情', '爱情', '家庭']",['(2000)'],['台湾 / 日本']
荒蛮故事,https://movie.douban.com//subject//24750126//,8.8,"['å‰§æƒ…', 'å–œå‰§', 'çŠ¯ç½ª']",['(2014)'],[]
告白,https://movie.douban.com//subject//4268598//,8.7,"['剧情', '惊悚']",['(2010)'],['日本']
超脱,https://movie.douban.com//subject//5322596//,8.8,['剧情'],['(2011)'],['美国']
谍影重重3,https://movie.douban.com//subject//1578507//,8.7,"['动作', '悬疑', '惊悚']",['(2007)'],['美国 / 德国']
重庆森林,https://movie.douban.com//subject//1291999//,8.7,"['剧情', '爱情']",['(1994)'],['香港']
红辣椒,https://movie.douban.com//subject//1865703//,8.9,"['科幻', '动画', '悬疑', '惊悚']",['(2006)'],['日本']
英雄本色,https://movie.douban.com//subject//1297574//,8.6,"['动作', '犯罪']",['(1986)'],['香港']
玩具总动员3,https://movie.douban.com//subject//1858711//,8.8,"['喜剧', '动画', '奇幻', '冒险']",['(2010)'],['美国']
阿凡达,https://movie.douban.com//subject//1652587//,8.6,"['动作', '科幻', '战争', '冒险']",['(2009)'],['美国 / 英国']
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com//subject//3395373//,8.6,"['剧情', '动作', '科幻', '惊悚', '犯罪']",['(2012)'],['美国 / 英国']
心迷宫,https://movie.douban.com//subject//25917973//,8.6,"['剧情', '悬疑', '犯罪']",['(2014)'],['中国大陆']
7号房的礼物,https://movie.douban.com//subject//10777687//,8.7,"['剧情', '喜剧', '家庭']",['(2013)'],['韩国']
奇迹男孩,https://movie.douban.com//subject//26787574//,8.6,"['å‰§æƒ…', 'å®¶åº\xad', 'å„¿ç«¥']",['(2017)'],[]
东邪西毒,https://movie.douban.com//subject//1292328//,8.6,"['剧情', '动作', '爱情', '武侠', '古装']",['(1994)'],['香港 / 台湾']
红海行动,https://movie.douban.com//subject//26861685//,8.3,"['动作', '战争']",['(2018)'],['中国大陆 / 香港']
幽灵公主,https://movie.douban.com//subject//1297359//,8.8,"['动画', '奇幻', '冒险']",['(1997)'],['日本']
喜剧之王,https://movie.douban.com//subject//1302425//,8.6,"['剧情', '喜剧', '爱情']",['(1999)'],['香港']
纵横四海,https://movie.douban.com//subject//1295409//,8.7,"['å‰§æƒ…', 'å–œå‰§', 'åŠ¨ä½œ', 'çŠ¯ç½ª']",['(1991)'],[]
敦刻尔克,https://movie.douban.com//subject//26607693//,8.4,"['剧情', '历史', '战争']",['(2017)'],['英国 / 法国 / 美国 / 荷兰']
灿烂人生,https://movie.douban.com//subject//1291831//,9.4,"['剧情', '爱情', '家庭']",['(2003)'],['意大利']
时空恋旅人,https://movie.douban.com//subject//10577869//,8.6,"['剧情', '爱情', '奇幻']",['(2013)'],['英国']
大鱼,https://movie.douban.com//subject//1291545//,8.7,"['å‰§æƒ…', 'å®¶åº\xad', 'å¥‡å¹»', 'å†’é™©']",['(2003)'],[]
第六感,https://movie.douban.com//subject//1297630//,8.8,"['剧情', '悬疑', '惊悚']",['(1999)'],['美国']
爱在午夜降临前,https://movie.douban.com//subject//10808442//,8.8,"['剧情', '爱情']",['(2013)'],['美国']
超能陆战队,https://movie.douban.com//subject//11026735//,8.6,"['喜剧', '动作', '科幻', '动画', '冒险']",['(2014)'],['美国']
